strategy_kind,forecast_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_abs_close_error_bp,median_abs_close_error_bp,mean_abs_magnitude_error_bp,median_abs_magnitude_error_bp
ugh,0,0,,0,,0,,,,,
ugh_v2_alpha,15,8,0.5333,,,11,0.7333,20.73,19.93,14.06,11.14
ugh_v2_beta,15,10,0.6667,,,13,0.8667,19.09,17.61,13.33,12.67
ugh_v2_gamma,15,9,0.6,,,12,0.8,20.15,18.95,13.74,11.95
ugh_v2_delta,15,10,0.6667,,,12,0.8,19.93,17.64,14.11,12.34
baseline_random_walk,15,0,0.0,0,,0,,19.41,16.5,19.41,16.5
baseline_prev_day_direction,15,8,0.5333,0,,0,,20.85,15.73,12.84,10.73
baseline_simple_technical,15,6,0.4,0,,0,,45.99,47.8,20.92,21.91
ugh_v2_ensemble,,,,15,1.0,,,,,,
