strategy_kind,event_tag,observation_count,direction_hit_rate,range_hit_rate,state_proxy_hit_rate,mean_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,boj_pm_rift,1,1.0,,,27.83,27.83,2026-04-06T11:39:01Z
baseline_prev_day_direction,geopolitical_shock,1,0.0,,,146.0,46.77,2026-04-06T11:39:01Z
baseline_prev_day_direction,hawkish_fed,1,1.0,,,31.48,31.48,2026-04-06T11:39:01Z
baseline_prev_day_direction,intervention_warning,2,1.0,,,23.92,23.92,2026-04-06T11:39:01Z
baseline_prev_day_direction,oil_retreat,1,0.0,,,66.66,32.57,2026-04-06T11:39:01Z
baseline_prev_day_direction,ppi_us,1,1.0,,,31.48,31.48,2026-04-06T11:39:01Z
baseline_prev_day_direction,us_iran,4,0.5,,,66.04,32.71,2026-04-06T11:39:01Z
baseline_random_walk,boj_pm_rift,1,0.0,,,20.69,20.69,2026-04-06T11:39:01Z
baseline_random_walk,geopolitical_shock,1,0.0,,,49.62,49.62,2026-04-06T11:39:01Z
baseline_random_walk,hawkish_fed,1,0.0,,,48.52,48.52,2026-04-06T11:39:01Z
baseline_random_walk,intervention_warning,2,0.0,,,30.7,30.7,2026-04-06T11:39:01Z
baseline_random_walk,oil_retreat,1,0.0,,,17.04,17.04,2026-04-06T11:39:01Z
baseline_random_walk,ppi_us,1,0.0,,,48.52,48.52,2026-04-06T11:39:01Z
baseline_random_walk,us_iran,4,0.0,,,38.97,38.97,2026-04-06T11:39:01Z
baseline_simple_technical,boj_pm_rift,1,1.0,,,19.3,19.3,2026-04-06T11:39:01Z
baseline_simple_technical,geopolitical_shock,1,0.0,,,90.3,8.93,2026-04-06T11:39:01Z
baseline_simple_technical,hawkish_fed,1,1.0,,,9.51,9.51,2026-04-06T11:39:01Z
baseline_simple_technical,intervention_warning,2,1.0,,,9.84,9.84,2026-04-06T11:39:01Z
baseline_simple_technical,oil_retreat,1,1.0,,,25.16,25.16,2026-04-06T11:39:01Z
baseline_simple_technical,ppi_us,1,1.0,,,9.51,9.51,2026-04-06T11:39:01Z
baseline_simple_technical,us_iran,4,0.75,,,31.34,11.0,2026-04-06T11:39:01Z
ugh,boj_pm_rift,1,1.0,1.0,1.0,20.46,20.46,2026-04-06T11:39:01Z
ugh,geopolitical_shock,1,0.0,0.0,1.0,49.85,49.38,2026-04-06T11:39:01Z
ugh,hawkish_fed,1,1.0,0.0,1.0,48.29,48.29,2026-04-06T11:39:01Z
ugh,intervention_warning,2,1.0,1.0,1.0,30.47,30.47,2026-04-06T11:39:01Z
ugh,oil_retreat,1,1.0,1.0,1.0,16.81,16.81,2026-04-06T11:39:01Z
ugh,ppi_us,1,1.0,0.0,1.0,48.29,48.29,2026-04-06T11:39:01Z
ugh,us_iran,4,0.75,0.5,1.0,38.86,38.74,2026-04-06T11:39:01Z
